,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
346,RB,Kenyan Drake,0.4166666666666667,4500,10.714285714285714,0,0,0,0,1,0,0,15
347,TE,Will Tye,2.900000095367432,4500,8.571428571428571,1,0,0,0,0,1,0,13
348,RB,Derrick Coleman,0.8000000119209291,4500,5.142857142857143,0,0,0,0,1,0,0,38
349,TE,Clay Harbor,1.7000000476837158,4500,10.0,1,0,0,0,0,1,0,11
350,WR,Chris Moore,5.333333333333333,4500,6.666666666666668,1,0,0,0,0,0,1,54
351,WR,Nick Williams,4.5,4500,5.142857142857143,0,0,0,0,0,0,1,22
352,TE,Michael Roberts,2.0,4500,9.857142857142858,1,0,0,0,0,1,0,22
353,WR,Hunter Sharp,0.0,4500,7.142857142857142,0,0,0,0,0,0,1,8
354,TE,Michael Hoomanawanui,3.2000000476837163,4500,10.0,1,0,0,0,0,1,0,9
355,WR,Tanner Gentry,1.6666666666666667,4500,10.833333333333336,0,0,0,0,0,0,1,29
356,RB,Bishop Sankey,0.0,4500,5.857142857142858,0,0,0,0,1,0,0,18
357,WR,Kasen Williams,2.1499999364217124,4500,6.571428571428571,1,0,0,0,0,0,1,13
358,RB,J.D. McKissic,9.466666539510092,4500,9.333333333333334,1,0,0,0,1,0,0,8
359,RB,Ka'Deem Carey,1.8727273074063389,4500,10.833333333333336,0,0,0,0,1,0,0,11
360,WR,Jordan Taylor,2.650000095367432,4500,7.142857142857142,0,0,0,0,0,0,1,26
361,WR,Chris Godwin,1.920000076293945,4500,7.428571428571429,1,0,0,0,0,0,1,112
362,WR,Zay Jones,1.9666666984558103,4500,3.571428571428572,1,0,0,0,0,0,1,25
363,RB,Patrick DiMarco,0.26666667064030963,4500,3.571428571428572,1,0,0,0,1,0,0,14
364,WR,Walter Powell,3.0285715375627786,4500,3.571428571428572,1,0,0,0,0,0,1,12
365,WR,Justin Hardy,4.650000095367432,4500,5.142857142857143,0,0,0,0,0,0,1,24
366,RB,Brandon Bolden,0.9666666984558104,4500,8.571428571428571,1,0,0,0,1,0,0,35
367,WR,Demarcus Robinson,3.875,4500,6.833333333333332,1,0,0,0,0,0,1,72
368,RB,Fozzy Whittaker,2.9749999046325684,4500,6.0,0,0,0,0,1,0,0,11
369,RB,Cameron Artis-Payne,9.333333333333334,4500,6.0,0,0,0,0,1,0,0,11
370,WR,Carlos Henderson,0.0,4500,7.142857142857142,0,0,0,0,0,0,1,11
371,WR,Isaiah McKenzie,0.1799999952316284,4500,7.142857142857142,0,0,0,0,0,0,1,18
372,TE,A.J. Derby,5.083333333333333,4500,7.142857142857142,0,0,0,0,0,1,0,8
373,WR,Jeremy Butler,1.0499999523162842,4500,3.571428571428572,1,0,0,0,0,0,1,18
374,WR,Amara Darboh,1.6,4500,9.333333333333334,1,0,0,0,0,0,1,12
375,WR,Trent Taylor,4.057142802647181,4500,8.285714285714286,0,0,0,0,0,0,1,20
376,WR,Kendrick Bourne,0.0,4500,8.285714285714286,0,0,0,0,0,0,1,12
377,WR,Jehu Chesson,0.0,4500,6.833333333333332,1,0,0,0,0,0,1,11
378,WR,Andre Holmes,3.433333396911621,4500,3.571428571428572,1,0,0,0,0,0,1,94
379,WR,Leonte Carroo,0.8666666348775228,4500,10.714285714285714,0,0,0,0,0,0,1,11
380,WR,Michael Floyd,1.7000000476837158,4500,5.857142857142858,0,0,0,0,0,0,1,35
381,TE,Jeremy Sprinkle,0.0,4500,6.333333333333332,1,0,0,0,0,1,0,15
382,WR,Kaelin Clay,0.8249999880790709,4500,6.0,0,0,0,0,0,0,1,23
